Location,Date,Time,Latitude,Longitude,Altitude,YRMODAHRMI,Month,Hour,Season,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling
Peterson,20170804,1300,38.82,-104.71,1879,201708000000.0,8,13,Summer,18.21289,43.82431,19.77811,7,10.0,814.5,722
USAFA,20180723,1030,38.95,-104.83,1947,201807000000.0,7,10,Summer,59.40552,31.62857,15.44695,0,10.0,808.4,722
Travis,20170616,1100,38.16,-121.56,1,201706000000.0,6,11,Summer,28.67432,37.9908,18.79999,8,10.0,1011.3,722
Travis,20180406,1300,38.16,-121.56,1,201804000000.0,4,13,Spring,93.68896,17.51686,3.62456,14,2.5,1010.6,6
Hill Weber,20171123,1400,41.15,-111.99,1370,201711000000.0,11,14,Fall,19.40308,34.7757,12.99431,7,10.0,857.8,722
Grissom,20180920,1100,40.67,-86.15,239,201809000000.0,9,11,Fall,44.50684,39.3,10.11472,11,10.0,987.8,722
USAFA,20180604,1500,38.95,-104.83,1947,201806000000.0,6,15,Summer,9.24072,44.55696,18.77695,9,10.0,799.2,722
Camp Murray,20180628,1100,47.11,-122.57,84,201806000000.0,6,11,Summer,36.12671,27.7211,9.74663,3,10.0,1008.2,100
Travis,20180523,1115,38.16,-121.56,1,201805000000.0,5,11,Spring,52.72827,22.62276,10.07392,21,10.0,1010.6,722
JDMT,20171217,1100,26.98,-80.11,2,201712000000.0,12,11,Winter,50.36011,30.99411,15.90621,15,10.0,1024.0,250
Peterson,20180419,1300,38.82,-104.71,1879,201804000000.0,4,13,Spring,4.95605,27.77145,20.93031,20,10.0,814.8,250
Peterson,20180810,1100,38.82,-104.71,1879,201808000000.0,8,11,Summer,23.68774,38.12424,15.92087,21,10.0,819.6,722
Kahului,20180419,1200,20.89,-156.44,2,201804000000.0,4,12,Spring,68.42651,28.39836,11.18428,18,10.0,1015.1,722
Peterson,20171201,1300,38.82,-104.71,1879,201712000000.0,12,13,Winter,4.72412,32.85721,9.25559,20,10.0,809.1,722
JDMT,20170630,1200,26.98,-80.11,2,201706000000.0,6,12,Summer,49.51172,38.66806,26.02971,8,10.0,1019.6,722
Camp Murray,20180524,1200,47.11,-122.57,84,201805000000.0,5,12,Spring,44.31152,26.42952,8.77465,5,10.0,1007.2,24
Travis,20171124,1200,38.16,-121.56,1,201711000000.0,11,12,Fall,57.20215,25.76233,10.76361,8,10.0,1015.7,722
March AFB,20180706,1300,33.9,-117.26,458,201807000000.0,7,13,Summer,4.8584,50.89149,19.77303,13,10.0,958.5,722
JDMT,20170528,1000,26.98,-80.11,2,201705000000.0,5,10,Spring,32.62939,37.41425,21.28378,3,10.0,1016.5,722
Peterson,20180525,1100,38.82,-104.71,1879,201805000000.0,5,11,Spring,5.25513,49.58984,18.49885,14,10.0,813.7,722
Offutt,20180604,1200,41.13,-95.75,380,201806000000.0,6,12,Summer,30.31006,29.11842,9.13079,15,10.0,980.0,722
