Location,Date,Time,Latitude,Longitude,Altitude,YRMODAHRMI,Month,Hour,Season,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling
Peterson,20170627,1400,38.82,-104.71,1879,201706000000.0,6,14,Summer,5.52368,41.21849,22.42298,23,10.0,807.5,722
March AFB,20180724,1500,33.9,-117.26,458,201807000000.0,7,15,Summer,18.06641,45.80574,15.99935,11,10.0,957.9,722
Travis,20180220,1500,38.16,-121.56,1,201802000000.0,2,15,Winter,19.32373,18.12111,13.86928,6,10.0,1019.7,722
March AFB,20170805,1100,33.9,-117.26,458,201708000000.0,8,11,Summer,28.70483,38.00087,17.59635,8,10.0,959.5,722
USAFA,20170905,1300,38.95,-104.83,1947,201709000000.0,9,13,Fall,41.58325,23.27484,6.96226,3,10.0,808.4,22
Travis,20171006,1100,38.16,-121.56,1,201710000000.0,10,11,Fall,20.56274,26.51764,13.81502,9,10.0,1015.0,722
USAFA,20180406,1130,38.95,-104.83,1947,201804000000.0,4,11,Spring,47.07642,7.74818,3.09707,23,10.0,797.0,15
USAFA,20170609,1145,38.95,-104.83,1947,201706000000.0,6,11,Summer,14.52026,39.35539,19.31683,15,10.0,796.7,722
Grissom,20180710,1400,40.67,-86.15,239,201807000000.0,7,14,Summer,36.68213,43.86208,19.49922,14,10.0,988.2,160
Kahului,20171112,1300,20.89,-156.44,2,201711000000.0,11,13,Fall,64.05029,30.27908,18.75642,20,10.0,1011.4,722
Camp Murray,20180718,1500,47.11,-122.57,84,201807000000.0,7,15,Summer,14.42261,49.07875,19.27478,10,10.0,1010.6,722
Camp Murray,20180214,1445,47.11,-122.57,84,201802000000.0,2,14,Winter,80.14526,9.70192,1.93512,9,10.0,1007.6,42
Kahului,20180129,1400,20.89,-156.44,2,201801000000.0,1,14,Winter,67.82837,27.68837,17.76384,18,10.0,1007.3,722
Peterson,20180125,1100,38.82,-104.71,1879,201801000000.0,1,11,Winter,6.45142,31.64116,3.96967,5,10.0,808.6,250
JDMT,20170719,1300,26.98,-80.11,2,201707000000.0,7,13,Summer,46.96045,41.21094,27.59557,10,10.0,1019.3,250
Peterson,20170814,1400,38.82,-104.71,1879,201708000000.0,8,14,Summer,14.4043,41.25374,22.56916,15,10.0,809.4,722
Travis,20170609,1115,38.16,-121.56,1,201706000000.0,6,11,Summer,42.92603,27.04887,25.67794,13,10.0,1010.9,25
Hill Weber,20180724,1200,41.15,-111.99,1370,201807000000.0,7,12,Summer,12.53662,47.04193,20.70427,0,10.0,859.6,722
USAFA,20170619,1300,38.95,-104.83,1947,201706000000.0,6,13,Summer,12.92725,43.91998,18.49785,10,10.0,805.1,722
Offutt,20180713,1000,41.13,-95.75,380,201807000000.0,7,10,Summer,53.73535,34.80843,14.95139,8,10.0,978.4,722
Camp Murray,20180609,1415,47.11,-122.57,84,201806000000.0,6,14,Summer,26.47095,31.64871,14.64187,13,10.0,1003.5,130
Offutt,20180803,1500,41.13,-95.75,380,201808000000.0,8,15,Summer,27.16064,44.45877,20.43019,20,10.0,975.8,722
Malmstrom,20180115,1545,47.52,-111.18,1043,201801000000.0,1,15,Winter,63.51318,-5.83229,3.94015,6,10.0,909.7,722
USAFA,20180504,1000,38.95,-104.83,1947,201805000000.0,5,10,Spring,38.43994,19.99931,17.20916,9,10.0,807.0,722
Malmstrom,20180602,1415,47.52,-111.18,1043,201806000000.0,6,14,Summer,22.52808,24.5639,21.58146,14,10.0,900.3,722
Travis,20170802,1300,38.16,-121.56,1,201708000000.0,8,13,Summer,18.62793,41.87561,19.6259,10,10.0,1008.2,722
March AFB,20180616,1500,33.9,-117.26,458,201806000000.0,6,15,Summer,25.48828,32.8421,16.24631,9,10.0,954.6,722
Malmstrom,20180405,1215,47.52,-111.18,1043,201804000000.0,4,12,Spring,58.80737,1.9474,3.37746,9,2.0,902.1,11
Peterson,20180917,1000,38.82,-104.71,1879,201809000000.0,9,10,Fall,6.44531,48.41408,10.17326,17,10.0,813.4,722
Peterson,20171118,1400,38.82,-104.71,1879,201711000000.0,11,14,Fall,10.60181,21.90018,8.83418,10,10.0,815.1,722
Offutt,20180813,1400,41.13,-95.75,380,201808000000.0,8,14,Summer,36.66382,41.24367,21.74539,14,10.0,977.7,722
Hill Weber,20180215,1200,41.15,-111.99,1370,201802000000.0,2,12,Winter,58.95996,1.39603,1.53898,13,10.0,857.2,70
Malmstrom,20180706,1200,47.52,-111.18,1043,201807000000.0,7,12,Summer,19.82422,36.71432,19.69562,11,10.0,897.2,722
Kahului,20171118,1300,20.89,-156.44,2,201711000000.0,11,13,Fall,52.44141,29.11591,18.9439,11,10.0,1009.0,722
March AFB,20170708,1500,33.9,-117.26,458,201707000000.0,7,15,Summer,9.47876,49.64272,25.92885,13,10.0,956.3,220
Peterson,20171120,1500,38.82,-104.71,1879,201711000000.0,11,15,Fall,7.2876,23.26729,6.30007,28,10.0,803.8,722
Grissom,20180429,1030,40.67,-86.15,239,201804000000.0,4,10,Spring,26.3916,16.76155,12.73926,7,10.0,998.1,722
Kahului,20171219,1300,20.89,-156.44,2,201712000000.0,12,13,Winter,86.30371,23.90175,1.05558,13,10.0,1012.1,55
Hill Weber,20180724,1300,41.15,-111.99,1370,201807000000.0,7,13,Summer,10.19287,49.6981,21.63554,3,10.0,859.0,722
Offutt,20180831,1000,41.13,-95.75,380,201808000000.0,8,10,Summer,92.72461,24.52614,1.63663,13,10.0,973.8,722
Camp Murray,20180225,1400,47.11,-122.57,84,201802000000.0,2,14,Winter,86.54175,9.04984,7.91638,14,10.0,999.2,722
JDMT,20180511,1500,26.98,-80.11,2,201805000000.0,5,15,Spring,42.95654,37.98828,10.28965,9,10.0,1018.2,250
JDMT,20170813,1100,26.98,-80.11,2,201708000000.0,8,11,Summer,40.82031,42.53525,25.73187,6,10.0,1016.2,722
JDMT,20171120,1300,26.98,-80.11,2,201711000000.0,11,13,Fall,33.49609,38.66806,24.87022,16,10.0,1017.9,722
Travis,20180808,1000,38.16,-121.56,1,201808000000.0,8,10,Summer,56.90308,23.26981,7.02433,13,10.0,1010.9,722
Travis,20171231,1200,38.16,-121.56,1,201712000000.0,12,12,Winter,55.25513,14.89342,0.49266,5,10.0,1017.3,722
March AFB,20170707,1500,33.9,-117.26,458,201707000000.0,7,15,Summer,11.92627,51.62163,20.10827,13,10.0,956.9,722
Kahului,20180305,1400,20.89,-156.44,2,201803000000.0,3,14,Spring,55.48706,28.97743,17.70045,16,10.0,1012.1,722
Hill Weber,20180904,1100,41.15,-111.99,1370,201809000000.0,9,11,Fall,15.6189,30.40749,9.13755,13,10.0,855.2,722
USAFA,20180511,1300,38.95,-104.83,1947,201805000000.0,5,13,Spring,19.21997,34.23943,20.899,16,10.0,791.7,722
Hill Weber,20180326,1500,41.15,-111.99,1370,201803000000.0,3,15,Spring,37.56714,20.60104,6.08855,3,10.0,855.5,40
Camp Murray,20180717,1300,47.11,-122.57,84,201807000000.0,7,13,Summer,14.27002,48.40904,20.87464,6,8.0,1005.9,722
MNANG,20180409,1400,44.89,-93.2,246,201804000000.0,4,14,Spring,32.4646,18.10852,25.75517,10,10.0,993.8,43
March AFB,20171003,1300,33.9,-117.26,458,201710000000.0,10,13,Fall,33.21533,28.4185,17.3715,8,10.0,956.9,722
March AFB,20180406,1300,33.9,-117.26,458,201804000000.0,4,13,Spring,34.43604,27.81425,18.93708,11,10.0,959.8,722
Travis,20180109,1430,38.16,-121.56,1,201801000000.0,1,14,Winter,87.77466,17.51183,2.28722,6,10.0,1001.8,20
Peterson,20180607,1100,38.82,-104.71,1879,201806000000.0,6,11,Summer,13.47656,45.82336,18.40602,10,10.0,813.1,722
JDMT,20171215,1200,26.98,-80.11,2,201712000000.0,12,12,Winter,30.37109,35.49576,22.45945,9,10.0,1019.6,722
March AFB,20170819,1000,33.9,-117.26,458,201708000000.0,8,10,Summer,44.89746,29.64714,15.23842,6,10.0,960.5,722
Hill Weber,20170621,1100,41.15,-111.99,1370,201706000000.0,6,11,Summer,27.90527,34.25957,16.15637,9,10.0,853.7,190
Grissom,20180522,1030,40.67,-86.15,239,201805000000.0,5,10,Spring,71.1731,26.53778,9.58738,9,10.0,986.8,50
Travis,20180420,1200,38.16,-121.56,1,201804000000.0,4,12,Spring,36.27319,29.71764,20.25114,5,10.0,1018.4,722
March AFB,20180116,1000,33.9,-117.26,458,201801000000.0,1,10,Winter,57.32422,15.43472,5.19769,0,10.0,966.0,722
Malmstrom,20180321,1400,47.52,-111.18,1043,201803000000.0,3,14,Spring,22.58301,14.2942,14.66316,11,10.0,890.5,722
Travis,20180227,1200,38.16,-121.56,1,201802000000.0,2,12,Winter,20.02563,14.1507,15.29334,20,10.0,1014.6,722
Offutt,20180808,1200,41.13,-95.75,380,201808000000.0,8,12,Summer,60.80322,31.00922,21.37915,10,10.0,978.7,722
MNANG,20180407,1400,44.89,-93.2,246,201804000000.0,4,14,Spring,17.86499,18.74802,20.15264,8,10.0,991.5,722
Travis,20180416,1530,38.16,-121.56,1,201804000000.0,4,15,Spring,87.24365,12.985,5.45475,9,10.0,1013.3,722
Hill Weber,20170909,1200,41.15,-111.99,1370,201709000000.0,9,12,Fall,27.92358,31.05202,23.88004,15,10.0,857.8,722
Grissom,20180710,1200,40.67,-86.15,239,201807000000.0,7,12,Summer,48.14453,40.07294,19.32846,10,10.0,989.5,722
Kahului,20180316,1500,20.89,-156.44,2,201803000000.0,3,15,Spring,59.69238,30.90599,6.84697,8,10.0,1012.4,722
Hill Weber,20170710,1200,41.15,-111.99,1370,201707000000.0,7,12,Summer,18.58521,38.72093,20.69517,10,10.0,855.2,722
March AFB,20180114,1000,33.9,-117.26,458,201801000000.0,1,10,Winter,26.5686,19.4278,0.38682,3,10.0,967.3,722
Travis,20180413,1400,38.16,-121.56,1,201804000000.0,4,14,Spring,23.06519,30.28915,20.74099,3,10.0,1025.8,722
USAFA,20170528,1230,38.95,-104.83,1947,201705000000.0,5,12,Spring,15.18555,32.25548,21.52019,17,10.0,805.3,722
JDMT,20180211,1200,26.98,-80.11,2,201802000000.0,2,12,Winter,47.52197,36.05972,8.40416,21,10.0,1022.3,21
Camp Murray,20180303,1100,47.11,-122.57,84,201803000000.0,3,11,Spring,23.18115,27.76894,10.41503,8,10.0,1002.9,722
Hill Weber,20170807,1400,41.15,-111.99,1370,201708000000.0,8,14,Summer,28.30811,32.31339,11.04476,7,10.0,856.0,722
Camp Murray,20180804,1200,47.11,-122.57,84,201808000000.0,8,12,Summer,19.23828,43.87215,18.53455,8,10.0,1005.6,722
Camp Murray,20171221,1400,47.11,-122.57,84,201712000000.0,12,14,Winter,31.15234,19.30695,5.77016,3,10.0,1017.6,722
USAFA,20170626,1400,38.95,-104.83,1947,201706000000.0,6,14,Summer,10.72388,51.67953,18.1263,11,10.0,804.0,722
Malmstrom,20180115,1100,47.52,-111.18,1043,201801000000.0,1,11,Winter,71.09375,-11.48453,4.46759,3,10.0,913.1,722
March AFB,20171126,1400,33.9,-117.26,458,201711000000.0,11,14,Fall,20.20874,31.00166,11.45253,3,10.0,961.8,722
Grissom,20180111,1245,40.67,-86.15,239,201801000000.0,1,12,Winter,82.94678,15.54047,3.30804,16,10.0,981.9,17
March AFB,20180117,1200,33.9,-117.26,458,201801000000.0,1,12,Winter,19.55566,28.3329,8.40169,5,10.0,966.9,722
Kahului,20180103,1300,20.89,-156.44,2,201801000000.0,1,13,Winter,48.36426,27.72865,18.66399,17,10.0,1017.5,722
March AFB,20180803,1500,33.9,-117.26,458,201808000000.0,8,15,Summer,21.08154,41.94107,14.96099,10,10.0,957.6,722
MNANG,20180926,1000,44.89,-93.2,246,201809000000.0,9,10,Fall,84.83887,11.59523,12.91397,7,10.0,988.9,10
MNANG,20180903,1000,44.89,-93.2,246,201809000000.0,9,10,Fall,76.69678,22.67059,1.37186,10,10.0,990.5,65
Hill Weber,20170806,1200,41.15,-111.99,1370,201708000000.0,8,12,Summer,18.71948,39.27734,21.07924,6,10.0,853.1,722
JDMT,20171211,1000,26.98,-80.11,2,201712000000.0,12,10,Winter,26.06201,27.05643,17.08528,9,10.0,1024.7,722
Offutt,20180807,1400,41.13,-95.75,380,201808000000.0,8,14,Summer,42.66968,36.20827,23.51736,8,10.0,977.1,722
Peterson,20170827,1400,38.82,-104.71,1879,201708000000.0,8,14,Summer,12.35962,40.63438,18.43928,17,10.0,819.3,722
March AFB,20170913,1300,33.9,-117.26,458,201709000000.0,9,13,Fall,34.12476,35.52345,17.56213,9,10.0,957.2,722
Travis,20180827,1300,38.16,-121.56,1,201808000000.0,8,13,Summer,47.63184,27.0388,16.47783,20,10.0,1009.9,722
USAFA,20180422,1200,38.95,-104.83,1947,201804000000.0,4,12,Spring,24.35303,25.79758,19.27387,14,10.0,801.7,722
Peterson,20180414,1000,38.82,-104.71,1879,201804000000.0,4,10,Spring,19.67163,18.80844,12.24819,20,10.0,812.0,722
Peterson,20170730,1445,38.82,-104.71,1879,201707000000.0,7,14,Summer,49.83521,27.14203,3.49568,14,10.0,818.2,120
USAFA,20180823,1300,38.95,-104.83,1947,201808000000.0,8,13,Summer,15.03906,41.32927,17.2111,11,10.0,800.6,722
Camp Murray,20180611,1100,47.11,-122.57,84,201806000000.0,6,11,Summer,29.63867,30.31181,22.93671,0,10.0,1011.9,722
MNANG,20180419,1200,44.89,-93.2,246,201804000000.0,4,12,Spring,17.19971,25.22606,20.98745,8,10.0,1001.4,722
Travis,20170813,1300,38.16,-121.56,1,201708000000.0,8,13,Summer,35.39429,30.39238,20.68996,20,10.0,1008.6,722
Peterson,20170908,1000,38.82,-104.71,1879,201709000000.0,9,10,Fall,10.03418,45.12596,8.44151,5,10.0,815.6,722
MNANG,20180812,1500,44.89,-93.2,246,201808000000.0,8,15,Summer,39.74609,37.45956,18.18982,11,9.1,988.5,722
March AFB,20170807,1000,33.9,-117.26,458,201708000000.0,8,10,Summer,40.48462,32.96547,15.7128,3,10.0,959.5,722
Peterson,20170916,1115,38.82,-104.71,1879,201709000000.0,9,11,Fall,34.58252,24.58153,5.30907,13,10.0,813.4,25
Hill Weber,20170703,1400,41.15,-111.99,1370,201707000000.0,7,14,Summer,7.35474,51.61156,20.15166,6,10.0,855.5,722
MNANG,20171202,1500,44.89,-93.2,246,201712000000.0,12,15,Winter,40.33203,11.67076,1.19639,6,10.0,987.6,722
Grissom,20180717,1400,40.67,-86.15,239,201807000000.0,7,14,Summer,25.40894,41.33682,21.98076,10,10.0,987.8,722
Peterson,20170623,1015,38.82,-104.71,1879,201706000000.0,6,10,Summer,62.57935,14.15825,1.86538,11,10.0,818.7,25
Travis,20171110,1445,38.16,-121.56,1,201711000000.0,11,14,Fall,74.21875,20.10002,3.91921,10,10.0,1013.6,15
USAFA,20170709,1100,38.95,-104.83,1947,201707000000.0,7,11,Summer,25.6897,36.08742,16.64386,8,10.0,804.5,722
Camp Murray,20180929,1300,47.11,-122.57,84,201809000000.0,9,13,Fall,17.27295,42.60826,14.36725,7,10.0,997.8,150
March AFB,20180623,1400,33.9,-117.26,458,201806000000.0,6,14,Summer,36.04736,34.16641,19.50742,8,10.0,955.9,722
March AFB,20180330,1300,33.9,-117.26,458,201803000000.0,3,13,Spring,8.19702,39.30756,19.36696,3,10.0,962.4,722
Hill Weber,20170624,1300,41.15,-111.99,1370,201706000000.0,6,13,Summer,11.50513,41.33682,21.80027,7,10.0,859.3,722
JDMT,20180325,1500,26.98,-80.11,2,201803000000.0,3,15,Spring,20.71533,45.12596,23.24605,10,10.0,1017.6,722
Peterson,20180118,1100,38.82,-104.71,1879,201801000000.0,1,11,Winter,6.35376,23.22449,2.49891,0,10.0,813.7,250
USAFA,20180821,1430,38.95,-104.83,1947,201808000000.0,8,14,Summer,83.87451,19.99428,7.18109,10,10.0,805.3,100
March AFB,20170823,1200,33.9,-117.26,458,201708000000.0,8,12,Summer,42.85889,31.57822,19.27677,8,10.0,959.8,722
MNANG,20180823,1400,44.89,-93.2,246,201808000000.0,8,14,Summer,43.26782,29.70505,10.70241,10,9.1,984.3,65
Malmstrom,20180414,1500,47.52,-111.18,1043,201804000000.0,4,15,Spring,27.75269,17.41112,17.29442,20,10.0,897.5,722
Grissom,20180924,1130,40.67,-86.15,239,201809000000.0,9,11,Fall,77.13623,21.34377,2.6394,9,10.0,988.8,14
Travis,20180814,1400,38.16,-121.56,1,201808000000.0,8,14,Summer,39.71558,30.27908,19.31796,21,10.0,1008.2,722
USAFA,20170531,1100,38.95,-104.83,1947,201705000000.0,5,11,Spring,25.23804,32.34108,20.28816,7,10.0,800.6,722
USAFA,20170606,1400,38.95,-104.83,1947,201706000000.0,6,14,Summer,26.61743,32.31339,2.44255,9,10.0,804.2,90
MNANG,20180812,1400,44.89,-93.2,246,201808000000.0,8,14,Summer,40.979,36.14784,19.9985,11,9.1,988.9,722
March AFB,20170905,1000,33.9,-117.26,458,201709000000.0,9,10,Fall,26.36108,42.59064,13.45552,3,10.0,961.4,722
Malmstrom,20180106,1100,47.52,-111.18,1043,201801000000.0,1,11,Winter,57.67822,8.35999,3.06083,31,10.0,890.2,722
Hill Weber,20180505,1100,41.15,-111.99,1370,201805000000.0,5,11,Spring,31.12183,28.42606,19.04393,8,10.0,859.6,722
MNANG,20180830,1200,44.89,-93.2,246,201808000000.0,8,12,Summer,55.34058,26.42952,19.62499,15,10.0,989.5,722
Grissom,20180826,1500,40.67,-86.15,239,201808000000.0,8,15,Summer,42.30347,43.79662,17.4496,10,10.0,988.8,46
Grissom,20171203,1200,40.67,-86.15,239,201712000000.0,12,12,Winter,40.93018,18.15132,3.59588,0,10.0,994.1,722
Camp Murray,20180114,1445,47.11,-122.57,84,201801000000.0,1,14,Winter,30.18188,29.66728,8.30388,0,10.0,1008.9,170
March AFB,20170818,1200,33.9,-117.26,458,201708000000.0,8,12,Summer,29.93774,33.61252,19.74695,10,10.0,960.8,722
MNANG,20171215,1415,44.89,-93.2,246,201712000000.0,12,14,Winter,59.46045,3.9238,1.46045,0,10.0,979.6,19
Travis,20180321,1130,38.16,-121.56,1,201803000000.0,3,11,Spring,99.98779,13.61694,0.84451,3,5.0,1008.2,22
JDMT,20180227,1100,26.98,-80.11,2,201802000000.0,2,11,Winter,47.37549,35.5159,21.17935,15,10.0,1022.0,722
JDMT,20180213,1300,26.98,-80.11,2,201802000000.0,2,13,Winter,42.10205,39.95461,20.46555,15,10.0,1029.1,32
Kahului,20180308,1500,20.89,-156.44,2,201803000000.0,3,15,Spring,52.6062,25.84541,9.36359,17,10.0,1011.7,722
Kahului,20180126,1300,20.89,-156.44,2,201801000000.0,1,13,Winter,61.56616,29.76799,18.95388,9,10.0,1008.4,722
Peterson,20180513,1500,38.82,-104.71,1879,201805000000.0,5,15,Spring,20.06226,31.00418,18.83451,16,10.0,808.6,722
USAFA,20170704,1345,38.95,-104.83,1947,201707000000.0,7,13,Summer,5.94482,52.26616,18.47572,15,10.0,803.1,722
Hill Weber,20170724,1300,41.15,-111.99,1370,201707000000.0,7,13,Summer,12.12769,49.69055,20.94622,3,10.0,853.7,100
Grissom,20171113,1445,40.67,-86.15,239,201711000000.0,11,14,Fall,83.70361,7.07092,3.97624,0,5.0,1001.7,7
Malmstrom,20180423,1100,47.52,-111.18,1043,201804000000.0,4,11,Spring,47.46094,9.74724,3.65913,8,10.0,907.0,722
Malmstrom,20171211,1300,47.52,-111.18,1043,201712000000.0,12,13,Winter,33.27026,9.08257,2.42755,7,10.0,907.3,722
JDMT,20170924,1000,26.98,-80.11,2,201709000000.0,9,10,Fall,56.01196,35.5159,18.00868,10,10.0,1011.5,230
JDMT,20180318,1300,26.98,-80.11,2,201803000000.0,3,13,Spring,19.54346,41.32172,26.0317,14,10.0,1015.5,722
March AFB,20170724,1400,33.9,-117.26,458,201707000000.0,7,14,Summer,31.7688,32.31842,5.80491,7,10.0,958.5,190
Malmstrom,20180608,1400,47.52,-111.18,1043,201806000000.0,6,14,Summer,20.53223,33.48412,20.93257,8,10.0,894.5,722
JDMT,20180328,1200,26.98,-80.11,2,201803000000.0,3,12,Spring,35.10742,34.13116,29.68804,16,10.0,1022.0,722
Travis,20180707,1300,38.16,-121.56,1,201807000000.0,7,13,Summer,15.19775,40.68726,23.18912,11,10.0,1012.3,722
MNANG,20180801,1445,44.89,-93.2,246,201808000000.0,8,14,Summer,87.35962,25.82779,23.22588,10,9.1,981.3,42
Peterson,20180923,1400,38.82,-104.71,1879,201809000000.0,9,14,Fall,3.89404,40.71495,16.49294,5,10.0,810.6,722
Kahului,20180606,1500,20.89,-156.44,2,201806000000.0,6,15,Summer,64.39209,28.97743,19.5782,23,10.0,1015.5,722
Malmstrom,20180501,1500,47.52,-111.18,1043,201805000000.0,5,15,Spring,44.71436,14.79774,5.8256,15,10.0,890.5,37
Peterson,20180730,1200,38.82,-104.71,1879,201807000000.0,7,12,Summer,14.59961,43.81424,3.46064,7,9.1,819.8,50
Travis,20171023,1400,38.16,-121.56,1,201710000000.0,10,14,Fall,33.19092,30.96893,14.33379,14,10.0,1020.1,722
JDMT,20180412,1500,26.98,-80.11,2,201804000000.0,4,15,Spring,54.62646,27.83188,11.01595,14,10.0,1019.3,722
Hill Weber,20180521,1000,41.15,-111.99,1370,201805000000.0,5,10,Spring,41.82739,25.78751,16.99784,9,10.0,850.2,722
March AFB,20180418,1300,33.9,-117.26,458,201804000000.0,4,13,Spring,8.11157,29.7554,20.38103,0,10.0,961.1,722
Kahului,20180421,1400,20.89,-156.44,2,201804000000.0,4,14,Spring,60.74829,29.64462,9.42699,20,10.0,1015.1,722
Camp Murray,20180709,1200,47.11,-122.57,84,201807000000.0,7,12,Summer,52.73438,24.49593,6.63958,5,10.0,1009.6,20
Grissom,20180719,1000,40.67,-86.15,239,201807000000.0,7,10,Summer,59.87549,25.87563,13.53326,9,10.0,987.8,722
Hill Weber,20171029,1000,41.15,-111.99,1370,201710000000.0,10,10,Fall,39.86816,14.22623,6.24993,13,10.0,854.6,722
JDMT,20180305,1500,26.98,-80.11,2,201803000000.0,3,15,Spring,19.2749,39.92188,23.20279,9,10.0,1016.2,722
Hill Weber,20170830,1100,41.15,-111.99,1370,201708000000.0,8,11,Summer,20.8374,37.41425,8.42605,5,10.0,856.6,722
JDMT,20171006,1200,26.98,-80.11,2,201710000000.0,10,12,Fall,58.96606,38.08144,19.80217,15,10.0,1014.5,170
Travis,20180929,1400,38.16,-121.56,1,201809000000.0,9,14,Fall,40.37476,28.44872,1.5679,16,10.0,1008.9,722
Travis,20170730,1100,38.16,-121.56,1,201707000000.0,7,11,Summer,44.54956,27.09923,18.16144,17,10.0,1014.0,722
Grissom,20180922,1500,40.67,-86.15,239,201809000000.0,9,15,Fall,48.12622,23.26981,6.15528,8,10.0,994.4,722
Peterson,20170628,1000,38.82,-104.71,1879,201706000000.0,6,10,Summer,8.64868,41.34186,14.74494,11,10.0,810.3,722
Malmstrom,20180516,1545,47.52,-111.18,1043,201805000000.0,5,15,Spring,16.65649,32.19254,8.78524,9,10.0,889.0,722
Kahului,20171129,1000,20.89,-156.44,2,201711000000.0,11,10,Fall,73.30322,27.16217,13.91287,18,10.0,1015.5,722
Camp Murray,20180819,1400,47.11,-122.57,84,201808000000.0,8,14,Summer,12.16431,51.00983,15.904,8,10.0,1006.2,722
JDMT,20180523,1200,26.98,-80.11,2,201805000000.0,5,12,Spring,51.57471,36.8251,26.73707,10,10.0,1018.9,80
JDMT,20171223,1500,26.98,-80.11,2,201712000000.0,12,15,Winter,30.85327,40.7225,19.9947,8,10.0,1020.6,250
Malmstrom,20180914,1300,47.52,-111.18,1043,201809000000.0,9,13,Fall,58.56323,13.51624,5.65664,7,10.0,898.7,7
Peterson,20180509,1100,38.82,-104.71,1879,201805000000.0,5,11,Spring,10.2417,36.73698,6.81943,10,10.0,812.0,250
USAFA,20180602,1315,38.95,-104.83,1947,201806000000.0,6,13,Summer,10.47363,43.16467,20.04362,15,10.0,806.5,722
USAFA,20170724,1300,38.95,-104.83,1947,201707000000.0,7,13,Summer,18.29224,45.78056,16.45445,8,10.0,801.4,722
Peterson,20180117,1000,38.82,-104.71,1879,201801000000.0,1,10,Winter,5.13916,25.17067,3.41381,6,10.0,816.2,722
March AFB,20171108,1200,33.9,-117.26,458,201711000000.0,11,12,Fall,36.54175,29.03534,14.46465,6,10.0,963.4,722
Offutt,20180809,1400,41.13,-95.75,380,201808000000.0,8,14,Summer,28.37524,47.10739,20.61401,7,6.0,977.4,722
Travis,20180220,1400,38.16,-121.56,1,201802000000.0,2,14,Winter,17.95044,18.71277,15.41945,0,10.0,1020.4,722
Travis,20180401,1300,38.16,-121.56,1,201804000000.0,4,13,Spring,40.12451,30.36972,19.6101,0,10.0,1009.9,722
USAFA,20180506,1400,38.95,-104.83,1947,201805000000.0,5,14,Spring,11.21826,36.06224,8.91985,7,10.0,804.2,130
Grissom,20180509,1300,40.67,-86.15,239,201805000000.0,5,13,Spring,32.53784,32.9554,20.72099,20,10.0,981.6,200
Offutt,20180730,1400,41.13,-95.75,380,201807000000.0,7,14,Summer,26.83105,40.02762,9.05396,8,10.0,981.4,722
Malmstrom,20180518,1200,47.52,-111.18,1043,201805000000.0,5,12,Spring,99.98779,7.06841,3.09583,16,5.0,900.6,5
Malmstrom,20180316,1530,47.52,-111.18,1043,201803000000.0,3,15,Spring,66.85181,6.42387,3.16637,9,0.5,889.6,2
Travis,20180417,1000,38.16,-121.56,1,201804000000.0,4,10,Spring,84.27734,11.02371,2.21697,8,10.0,1024.4,7
Offutt,20180925,1400,41.13,-95.75,380,201809000000.0,9,14,Fall,97.87598,16.17996,1.09045,15,10.0,978.1,13
March AFB,20171104,1100,33.9,-117.26,458,201711000000.0,11,11,Fall,38.48267,25.18829,10.63044,0,10.0,961.8,722
Travis,20180211,1400,38.16,-121.56,1,201802000000.0,2,14,Winter,46.94824,18.07076,3.90053,14,10.0,1006.5,722
March AFB,20180824,1500,33.9,-117.26,458,201808000000.0,8,15,Summer,29.93164,36.8251,13.95944,11,10.0,957.9,722
USAFA,20180423,1300,38.95,-104.83,1947,201804000000.0,4,13,Spring,20.06226,31.64368,12.65703,8,10.0,799.2,722
Grissom,20171129,1300,40.67,-86.15,239,201711000000.0,11,13,Fall,22.69897,21.98326,6.1315,7,10.0,997.4,722
Malmstrom,20180306,1400,47.52,-111.18,1043,201803000000.0,3,14,Spring,34.39331,7.11876,13.03611,5,10.0,903.0,722
Peterson,20180830,1200,38.82,-104.71,1879,201808000000.0,8,12,Summer,3.96729,52.87041,21.10255,10,10.0,814.2,722
Malmstrom,20180419,1300,47.52,-111.18,1043,201804000000.0,4,13,Spring,27.90527,16.86981,17.03409,9,10.0,898.1,722
Grissom,20180119,1300,40.67,-86.15,239,201801000000.0,1,13,Winter,50.47607,4.63127,3.80073,17,10.0,986.5,722
Malmstrom,20180417,1400,47.52,-111.18,1043,201804000000.0,4,14,Spring,23.90137,13.59932,21.5167,22,10.0,888.7,722
Peterson,20171017,1200,38.82,-104.71,1879,201710000000.0,10,12,Fall,0.71411,48.37631,14.29751,8,10.0,817.0,722
March AFB,20180810,1400,33.9,-117.26,458,201808000000.0,8,14,Summer,25.8728,39.94453,14.54015,8,10.0,961.1,722
Peterson,20180922,1000,38.82,-104.71,1879,201809000000.0,9,10,Fall,11.18774,45.79063,9.98209,0,10.0,817.3,722
Travis,20180701,1200,38.16,-121.56,1,201807000000.0,7,12,Summer,38.64136,30.34454,20.59203,23,10.0,1009.6,722
Travis,20180712,1200,38.16,-121.56,1,201807000000.0,7,12,Summer,27.6001,32.3159,20.09878,20,10.0,1009.6,722
Peterson,20171031,1300,38.82,-104.71,1879,201710000000.0,10,13,Fall,19.13452,33.51433,11.80434,7,9.1,804.6,722
